Feature,Category1,Category2,JS_Distance
MolWt,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.08570069432678472
MolWt,ori,jtvae,0.4145791117296089
MolWt,ori,digress,0.14206967763729783
MolWt,ori,defog_strict,0.16473645227230135
MolWt,ori,defog_relaxed,0.15540744107231766
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.4981332783576092
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.08000927802013046
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.09973964855219375
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.09030708256543504
MolWt,jtvae,digress,0.3276664012545866
MolWt,jtvae,defog_strict,0.34357517728012815
MolWt,jtvae,defog_relaxed,0.33884479128025996
MolWt,digress,defog_strict,0.06046019284438809
MolWt,digress,defog_relaxed,0.050846783126603415
MolWt,defog_strict,defog_relaxed,0.012799794447539025
ExactMolWt,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.08664538438683514
ExactMolWt,ori,jtvae,0.4137434470189905
ExactMolWt,ori,digress,0.14322827585954082
ExactMolWt,ori,defog_strict,0.16555961939401617
ExactMolWt,ori,defog_relaxed,0.15628180049812604
ExactMolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.4980359637764916
ExactMolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.08018886822198769
ExactMolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.10010835821732222
ExactMolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.0908124683654289
ExactMolWt,jtvae,digress,0.32536734095415176
ExactMolWt,jtvae,defog_strict,0.3411749146209485
ExactMolWt,jtvae,defog_relaxed,0.3363543449076568
ExactMolWt,digress,defog_strict,0.060141308477833416
ExactMolWt,digress,defog_relaxed,0.050595536210020595
ExactMolWt,defog_strict,defog_relaxed,0.012827869458727397
HeavyAtomCount,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.1358697082343269
HeavyAtomCount,ori,jtvae,0.4359376571913278
HeavyAtomCount,ori,digress,0.188417931844135
HeavyAtomCount,ori,defog_strict,0.1889432478897886
HeavyAtomCount,ori,defog_relaxed,0.18198580545826792
HeavyAtomCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.47031665967336594
HeavyAtomCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.0830312049731633
HeavyAtomCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.08003195314884055
HeavyAtomCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.07420989565221402
HeavyAtomCount,jtvae,digress,0.3468880773645553
HeavyAtomCount,jtvae,defog_strict,0.3584110228052004
HeavyAtomCount,jtvae,defog_relaxed,0.35181074070518514
HeavyAtomCount,digress,defog_strict,0.041858318465475185
HeavyAtomCount,digress,defog_relaxed,0.03478855694460323
HeavyAtomCount,defog_strict,defog_relaxed,0.013445136900056326
NumValenceElectrons,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.11164520882009535
NumValenceElectrons,ori,jtvae,0.42194195398843526
NumValenceElectrons,ori,digress,0.15635430287177549
NumValenceElectrons,ori,defog_strict,0.16666854565299033
NumValenceElectrons,ori,defog_relaxed,0.15692593868017155
NumValenceElectrons,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.46526902045505103
NumValenceElectrons,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.0740989176990146
NumValenceElectrons,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.08096668071453685
NumValenceElectrons,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.07361872889581061
NumValenceElectrons,jtvae,digress,0.3455269697930008
NumValenceElectrons,jtvae,defog_strict,0.3569452140443869
NumValenceElectrons,jtvae,defog_relaxed,0.3502255047204889
NumValenceElectrons,digress,defog_strict,0.046271180693056226
NumValenceElectrons,digress,defog_relaxed,0.03680202242497939
NumValenceElectrons,defog_strict,defog_relaxed,0.014244566885457896
NHOHCount,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.18977344300449053
NHOHCount,ori,jtvae,0.054270761630453405
NHOHCount,ori,digress,0.05935677026855937
NHOHCount,ori,defog_strict,0.04371699116068303
NHOHCount,ori,defog_relaxed,0.04401886044150502
NHOHCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.20030039130531269
NHOHCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.18194111602600208
NHOHCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.17810195032675813
NHOHCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.19409621244998665
NHOHCount,jtvae,digress,0.09324740229574269
NHOHCount,jtvae,defog_strict,0.07068963605502125
NHOHCount,jtvae,defog_relaxed,0.07692161883447007
NHOHCount,digress,defog_strict,0.030803412021243384
NHOHCount,digress,defog_relaxed,0.027651772209042098
NHOHCount,defog_strict,defog_relaxed,0.021272063730646936
NOCount,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.09273228156542604
NOCount,ori,jtvae,0.23905747069315186
NOCount,ori,digress,0.1436680172232349
NOCount,ori,defog_strict,0.15612011107859095
NOCount,ori,defog_relaxed,0.1685438933173304
NOCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.2474381922859073
NOCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.06900027636898082
NOCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.07606450318815638
NOCount,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.08444450580900123
NOCount,jtvae,digress,0.22244244672222876
NOCount,jtvae,defog_strict,0.2421111238439812
NOCount,jtvae,defog_relaxed,0.2587883016605244
